제목,지역,소분류,성별,내용
[목동실버데이케어센터] 봄 나들이 동행보조 자원봉사자 모집,서울,양천구,공통,"목동실버데이케어센터에서는 사회적응활동의 일환으로 어르신 간 단합을 도모하고 긍정적인 유대감 및 관계를 형성하고자 봄 나들이를 계획하고, 어르신들과 동행할 자원봉사자를 아래와 같이 모집합니다.- 아 래 -1. 사업내용 : 서울대공원 동물원 관람 어르신 1:1 동행(휠체어 이동)2. 사업기간 : 2019. 04. 19.(금) 10:00~16:303. 사업장소 : 목동실버복지문화센터 집결 후, 서울대공원(경기도 과천시 대공원광장로 102) 대형버스 이동 * 주말 및 공휴일에는 운영하지 않습니다.* 점심식사, 봉사확인서 발급 가능합니다~!* 문의: 목동실버데이케어센터 김보라 팀장(02-2647-3356)* 비고: 20세 이상 성인남녀만 신청가능(청소년 불가)* 신청 후, 목동실버데이케어센터(02-2647-3356)로 꼭 연락주세요!- 담당자 : 김보라 팀장- 주 소 : 서울시 양천구 목동중앙로3길 21(목4동 765-1)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
★1:1 초등학생 멘토링 멘토를 모집합니다 :)★,서울,강북구,남,"안녕하세요! 서울 강북구 번3동에 위치한 번동3단지종합사회복지관입니다.초등학교 5학년 남자아동의 1:1 멘토링을 위해 멘토분을 구하고 있습니다 :)1. 기간 : 19.04~19.08 약5개월 간(예상)2. 횟수 : 주1회(평일/주말/시간은 협의)3. 내용 : 교육지원, 특별활동, 정서적 지원4. 자격요건 : 5개월간 주1회 멘토링이 가능하며, 초등학교 저학년 수준의 국어/수학지도가 가능한 남자 대학생열정있는 대학생 분들의 많은 관심과 지원 부탁드립니다! 감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
서대문장애인종합복지관_행복돌봄밥상,서울,서대문구,공통,"서대문장애인종합복지관에서는 지역사회 내 저소득 고령장애인의 건강한 인생설계를 위한 '행복돌봄밥상'을 진행합니다. 이에 지역 내 고령장애인의 건강한 삶 지원 및 사회적 돌봄 실현에 함께 할 전문돌봄지원단을 모집하고자 하오니 많은 참여 부탁드립니다.  가. 모집내용 : 전문돌봄지원단 모집 나. 활동내용 : 고령장애인 가정에 방문하여 교육내용 지원 및 반찬전달 다. 교      육 : 월 1회 손마사지, 안마 교육 진행(고령장애인 가정에서 배운내용 진행하고자 함.) 라. 활      동 : 주 1회 완성된 건강식 전달 및 말벗서비스 실시(1인당 고령장애인가정 2인방문/서대문구 내/일정 및 시간 조율가능) 마. 혜      택 : 봉사시간 등록 및 월 2만원 활동비 지원* 문의사항 있을시 02.3140.3046(이수형 사회복지사) 문의바랍니다.** 신청하시고 전화연락 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019 대학생 1학기 사회봉사 모집,서울,강서구,공통," 가양4복지관에서는 학기별 대학생 사회봉사 교과목 이수 학생들의 활동을 모집하고 있습니다.  활동처를 자유롭게 선택하시는 학생분들은 평일 오전 활동이 가능한 경로식당 활동에 참여해주시면 감사하겠습니다.1)일 시 : 수, 금 (09:30-12:30)2) 장 소 : 서울시 강서구 가양2동 가양4종합사회복지관 1층 사랑채(경로식당)3) 활동내용 : 어르신 식사서빙, 도시락 포장 및 배달4) 기 타 : 주 1회 (중간&기말고사 제외)5) 문 의 : 서비스제공팀 박소영 사회복지사, 070-4338-4130 (오전9시~오후 6시)6) 신청방법 : VMS 신청 후 전화접수 하셔야 합니다.   ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
청소년 동아리 '동그리' 활동보조 대학생 봉사자 모집 ,서울,송파구,공통,"1.담당자 성명 : 김희진 사회복지사담당자 연락처(연락시주의사항및 연락가능시간) : 02-421-6077 (월~금 09:00~18:00 연락가능)2.봉사활동세부내역청소년 봉사 동아리 '동그리' 활동보조 봉사활동입니다.동그리는 청소년이 직접 자원봉사활동과 캠페인을 계획하고, 이를 실제로 진행함으로써 지역사회 내 나눔문화를 확산하는 목표를 가지고있습니다.이를 위해, 정기회의를 통해 봉사활동, 캠페인 준비하고, 실제로 자원봉사활동과 캠페인을 진행하게 됩니다. 또한, 봉사활동에 도움이 될 교육과 친목을 다지기 위한 야외활동도 계획중에 있습니다.다양한 활동을 청소년 주도로 수행해야하나 청소년의 특성상 의견제시가 적기 때문에 저희가 목표하는 바로 청소년들과 함께 나아가주실 봉사자를 구하고 있습니다. 즐겁고 재미있게 할 수 있는 봉사활동을 지향하고 있으니 부담없이 신청해주세요.3. 봉사신청 참고사항대학생 봉사자만 참여신청 가능합니다^^결석없이 성실하게 참여가능하실경우 꼭꼭 신청해주세요.혹 전일정이 어려울경우 3개월 이상 가능하시면 신청해주세요.다만, 전일정 참여가능하신 봉사자가 우선입니다.^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
자립지원,서울,은평구,공통,"50대 지적장애인이 살고 있는 자립생활 주택에서 지원해주실 분을 구합니다.스스로 목욕, 식사 등 신변처리가 가능한 장애인이기에 특별한 봉사내용은 없고 그냥 함께 생활만 하면 됩니다.그렇기 때문에 TV를 보셔도 되고, 컴퓨터를 해도 되고, 공부할 것을 가져와서 공부해도 되고...봉사자분의 방도 마련되어 있고 방안에 침대, 책상도 있고 와이파이도 됩니다.다만 장애인이 여성이기에 여성봉사자를 구합니다.연령제한은 없습니다.봉사시간은 평일입니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
기초영어 학습봉사,서울,은평구,공통,"봉 사 명 : 기초학습 봉사(기초영어)봉사지역 : 은평구(불광동, 신사동)봉사대상 : 성인발달장애인 47세 남자봉사내역 : 학습 봉사          영어(기초영어)활동주기 : 매주 1~2회(평일 오전 10시 부터 11시 혹은 11시30분 까지 또는 토요일 )담 당 자 : 박민규 (연락처 010-8572-7709)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[본리종합사회복지관]따뜻한 반찬나눔 배달 봉사자 모집 ,대구,달서구,공통,"본리종합사회복지관에서는 매주 따뜻하고 맛깔나는 밑반찬을 조리하여 식생활에 어려움을 겪는 이웃들에게 전달하고 있습니다.이에 사랑가득한 밑반찬을 전달해 주실 아름다운 손길을 모집합니다.- 일시 : 매월 셋째주 수요일 14:00~16:00- 내용 : 자차를 통하여 밑반찬 직접배달- 참고사항 : 자차 필수이며, 유류비 지원 불가- 담당자 : 사례관리팀 백성윤 사회복지사신청 후 복지관으로 연락 부탁 드리겠습니다. ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[본리종합사회복지관]따뜻한 반찬나눔 배달 봉사자 모집 ,대구,달서구,공통,"본리종합사회복지관에서는 매주 따뜻하고 맛깔나는 밑반찬을 조리하여 식생활에 어려움을 겪는 이웃들에게 전달하고 있습니다.이에 사랑가득한 밑반찬을 전달해 주실 아름다운 손길을 모집합니다.- 일시 : 매월 둘째주 금요일 14:00~16:00- 내용 : 자차를 통하여 밑반찬 직접배달- 참고사항 : 자차 필수이며, 유류비 지원 불가- 담당자 : 사례관리팀 백성윤 사회복지사신청 후 복지관으로 연락 부탁 드리겠습니다.  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
굿네이버스 서울중부지부 학습멘토 모집,서울,종로구,공통,"*모집분야 : 학습 멘토링*모집대상 : 무관*활동내용 : 특성화고등학교 2학년 영어, 수학 기초학습, 공부방향 지도 가능한 자*활동기간 : 6개월 이상 (주 1회, 조정가능)*활동시간 : 평일 18시 이후 또는 주말(활동시간은 멘티, 담당자와 협의)*활동장소 : 은평구, 종로구*활동혜택 : VMS 자원봉사실적입력*신청방법  및 문의1. VMS 신청 후 전화연락(02-3157-1391) 2. 굿네이버스 서울은평아동보호전문기관(http://eunpyeong.goodneighbors.kr/)홈페이지 내 '공지사항-자원봉사자 모집 게시글'에서 신청서 작성 후 이메일 (hpark1@gni.kr) 발송.문의: 굿네이버스 서울중부지부 박혜림 간사 (02-3157-1391)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
재능기부(피아노 수업 가능 자),인천,부평구,공통,해피홈보육원에서 피아노 수업을 해주실 봉사자를 찾고 있습니다.- 일시 : 일주일에 2번(주중 또는 주말) > 추후 논의 후 변경 가능- 장소 : 해피홈보육원 피아노실- 대상 : 고3(남) 아동 > 피아노를 전혀 배운적이 없음- 연락처 : 032)518-2080- 담당자 : 정경희 사회복지사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"2019년 독거장애노인 심리, 정서 지원프로그램 다섯손가락 자원봉사자 모집",부산,북구,공통,"2019년 독거장애노인 심리·정서 지원프로그램 다섯손가락 어르신들과 함께할 봉사자를 모집합니다~^^나. 자원봉사자 모집 세부내용1) 모집인원 : 총 20명 2) 활동기간 : 2019년 03월 ~ 12월- 월 1회 활동으로 일시 선택가능! 3) 활동장소 : 화정종합사회복지관 및 연계 독거장애노인 가정4) 주요활동- 너나들이 활동, 말벗, 외식지원, 나들이 등 장애노인과의 심리·정서 지원 활동 진행- 자원봉사자와 장애노인과의 연계를 통해 월별 주제에 따른 만들기 활동 협동 수행 5) 지원내역 : 자원봉사시간 발급 6) 신청기간 : 2019년 03월 20일(수) ~ 3월 29일(금) 7) 신청방법 : VMS 홈페이지 또는 유선 신청 8) 문 의 : 사회복지사 경효빈 (☎070-4336-0251). 끝.          ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
도봉서원종합사회복지관 - 도시락 밑반찬배달 봉사자 모집,서울,도봉구,공통,"안녕하세요. 도봉서원종합사회복지관입니다. 어르신 가정 도시락 및 밑반찬 배달 봉사자를 아래와 같이 모집합니다. 1. 도시락배달- 일시 : 월~금 11:00~12:00 - 내용: 복지관 6층 앞에서 도시락 배분, 자원봉사자 출석부 작성 후 해당 가정으로 배달: 배달일지 확인하여 어르신 각 가정에 배달하면서 빈 도시락 회수  : 복지관 4층 경로식당으로 빈 도시락 반납. 2. 밑반찬 배달- 일시 : 화, 목 16:00~18:00 (시간내 1시간)- 내용: 복지관 6층 사무실 앞에서 담당 사회복지사 밑반찬 배분: 배달일지 확인하여 어르신 가정에 배달: 배달일지 6층 사무실 제출 및 자원봉사자 출석부 작성 * 성별 무관하며 청소년의 경우 중학교 2학년 이상 신청 가능합니다. * 어르신 가정 배달이므로 최소 6개월 이상 지속할 자원봉사자를 모집합니다. 감사합니다.  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 효나들이 지원,서울,강남구,공통,"어르신 효나들이는 신체기능의 어려움으로 나들이 기회가 적은 어르신들을 대상으로지역 내의 택시 봉사단과 함께 나들이를 진행하는 활동입니다.택시를 타고 이동하여, 보다 안전하고 편안하게 나들이를 가실 수 있도록 지원하고 있습니다.- 봉사일시: 2019년 5월 9일(목) 8시 ~ 18시(총 10시간)- 봉사장소: 강남종합사회복지관, 나들이 장소- 봉사내용   * 어르신 접수 및 식전행사 지원   * 차량(택시) 탑승 지원 및 이동   * 점심식사 세팅 및 어르신 체험활동 지원   * 어르신 안전 확인 등- 기타사항 : 효나들이 진행 전, 사전교육을 실시 할 예정※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
프로그램보조,부산,남구,공통,저희 센터와 연계된 치매안심센터에서 진행되는 프로그램 보조봉사입니다.매주 목요일 오전 11시 ~ 12시까지 총 한시간 봉사입니다.진행되는 프로그램 보조 및 뒷정리를 하시면 됩니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
"[성모자애복지관]반찬배달 자원봉사자 모집(운전X, 정기봉사)",서울,강남구,공통,"안녕하세요. 서울 성모자애복지관 자원봉사담당자입니다.성모자애복지관은 열정과 존중을 바탕으로 장애인의 생활과 복지를 위해, 더 나아가 자립을 위해 최선을 다하고 있습니다.지역사회와 함께 성장하는 성모자애복지관에서 도시락 배달을 도와주실 자원봉사자를 모집하고 있습니다.  ========================================================= < 세부사항>- 봉사활동 일시 : 현재 ~ 2019. 12 / 매월 2,4주 수요일(정기자원봉사활동)- 봉사활동 시간 : 13:30 ~ 17:00- 봉사활동 내용 : 재가장애인 반찬지원(배달) / 운전 안하셔도 됩니다.- 봉사활동 장소 : 성모자애복지관(모임장소) / 성모자애복지관 일대(배달장소)- 모집 인원 : 1명- 성별 : 무관- 신청방법 : 유선신청 / VMS 신청 (즉각적인 피드백을 위해 유선신청을 추천합니다. VMS 신청 시 연락이 늦어질 수 있습니다.)- 연락처 : 자원봉사담당자, 김영광 사회복지사 02) 3410-8853- 모집기간 : ~ 2019. 12 ※ 담당자와 통화를 하시기 전까지는 봉사활동이 확정 된 것이 아닙니다! =========================================================  많은 관심과 연락 부탁드립니다.감사합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
재가봉사,경기,수원시,공통,1. 봉사일자 : 2019-04-01~2019-12-312. 봉사장소 : 재가3. 봉사내용 : 재가봉사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
등촌4종합사회복지관 본관 이미용 자원봉사자 모집,서울,강서구,공통,"등촌4종합사회복지관 본관 이미용 자원봉사자 모집활동기간 2019-04-18~2019-12-19활동분야 이미용봉사봉사활동처 등촌4종합사회복지관 활동주기 정기 [매월 3주 목요일]봉사지역 [서울] 서울특별시 강서구봉사장소 등촌4종합사회복지관봉사대상 어르신, 지역주민모집인원 2명지원 자격 조건봉사자연령- 봉사자성별공통자격요건이미용 관련 자격증 소지자 (컷트 가능자)사전교육-서울시 강서구에 위치한 등촌4종합사회복지관입니다.저희 복지관에서는 매월 셋째주 목요일에 지역 내 어르신들을 위한 이미용 서비스를 진행하고 있습니다.봉사활동을 통해 어르신들의 머리를 다듬어주실 봉사자를 모집합니다.많은 관심과 신청 부탁드립니다.* 활동내용 : 이미용 서비스 자원봉사 (컷트)* 활동일시 : 매월 셋째주 목요일 10시~12시* 활동요건 : 미용 관련 자격증 소지자* 모집인원 : 2명* 문의 : 신민경 사회복지사* 연락처 : 02-2658-8800※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
이미용 자원봉사단체 및 자원봉사자 모집,경기,오산시,공통,"오산종합사회복지관에서는 어르신들을 대상으로 정기적으로 하실 자원봉사자를 모집합니다^^많이 신청해주시고, 얼마든지 조정가능합니다^^1. 활동일자 : 매월 1회(셋째주 평일 오후) *변경가능함2. 모집인원: 0명3. 모집분야: 어르신 이미용(컷트 등)4. 기타사항: 개인 및 단체 봉사자, 대학교 동아리 등 모두 가능5. 문의사항: 오산종합사회복지관 사무실 (031-378-2740)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
<초록우산어린이재단>대전종합사회복지관 멘토링프로그램 멘토모집,대전,대덕구,공통,"제5기 러닝메이트 멘토 모집초록우산 어린이재단 대전종합사회복지관에서는 저소득가정 중학생 아이들과 함께 활동 할 멘토를 모집합니다!-대상: 멘토링활동에 관심있는자로 대학교 2학년이상 성인(학과무관)-활동기간: 2019.03.~2019.12.-활동내용: 멘토교육 및 OT, 멘토링 1박2일 캠프, 개별멘토링 등-멘토혜택: 자원봉사활동시간 인정, 활동비지급(1회 15,000원), 기관내외표창장추천-접수기간: 2019.03.15.~ 2019.03.22.(3월중 면접예정, 추후예정)-접수방법: 대전종합사회복지관 홈페이지(www.childfund-daejeon.or.kr) 공지사항 중             멘토링프로그램 신청서 다운받아 작성하여 메일발송(shbr1004@childfund.or.kr)-문의사항: 대전종합사회복지관 박보라 사회복지사(042-627-2957)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
방문이미용 자원봉사자 모집힙니다,부산,사하구,공통,프로그램명 :  방문이미용진행일시 : 매달 네번째 목요일 9시30분~12시00분진행장소 : 대상자 가정활동내용 : 거동불편하여 외출이 어려운 대상자의 가정에 방문하여 서비스(커트) 제공비     고 : 이동 시 차량으로 이동하며 담당사회복지사와 동행하여 활동진행합니다!              활동가능하신 자원봉사자 선생님들의 전화를 기다리고 있습니다~^^             활동관련하여 궁금하신 분들은 복지관으로 언제든지 전화주시기 비랍니다             ※활동일 조정 가능합니다 다시한번 많은 관심과 참여바랍니다~※* 사하구복지관 TEL 051-293-2688 *※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[서초중앙] 밑반찬 포장 및 배달 봉사,서울,서초구,공통,"[서초중앙] 저소득 독거어르신지원 밑반찬 포장 및 배달 활동서초중앙노인종합복지관에서는 저소득 독거어르신들을 대상으로 실시하고 있는 밑반찬 사업의 업무를 보조해주실 봉사자분들을 모집하고 있습니다.1) 일 시: 2019년 02월 ~ 12월 매주 화, 금 13:30~16:30(3시간)2) 업 무: 서초구 내 거주하고 계신 저소득 독거어르신들을 위한 밑반찬 포장 및 배달3) 인 원: 5명4) 자 격: 20세~50세5) 장 소: 복지관 2층 경로식당, 어르신가정6) 주 소: 서울특별시 서초구 서초동 1666-17 (교대역 1번, 13번 출구 100m)★ 문 의: 02)3474-6080~1 김예진 사회복지사 많은 관심과 참여를 기다립니다. *담당자와 유선연락이 되어야 신청완료임을 알려드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
보글보글 맛있는 반찬 만들기에 함께하실 정기봉사자를 모집해요!,인천,계양구,공통,"<보글보글 맛있는 반찬 만들기에 함께하실 봉사자를 모집해요!>노틀담복지관에서는 매주 수요일 오전에 저소득 장애인 가정에 드릴 따끈따근 맛 좋은 반찬을 조리합니다.따듯한 마음을 나눠 줄 봉사자를 모집합니다. 봉사자님의 마음을 보여주세요^^▷일시: 매주 수요일 오전9:30~12:30 (3시간)▷장소: 계산동 소재 봉사단체 조리실(외부) 계양대로205번길 9 지층▷내용: 밑반찬 3종 조리▷신청: 전화 또는 방문 신청 (지역사랑팀 032-540-8933)*VMS 봉사시간을 드립니다.*노틀담의 새가족이 되어요.*보람, 뿌듯, 행복, 사랑을 느끼게 해줘요.정기적으로 봉사가능한 성인 봉사자를 모집합니다~ 적극적인 참여부탁드립니다♡※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019 멘토링프로그램 '세발자전거',충북,청주시,공통,"2019 멘토링프로그램 “세발자전거” 멘토 모집□ 멘토링 ‘세발자전거’는?아동 멘티와 대학생 멘토가 1:1로 짝이 되어 함께 활동하면서 정서적 교감을 나누고, 멘토가 아동의 편이 되어 지지자의 역할을 함으로써 아동이 건강하게 성장할 수 있도록 돕는 프로그램입니다. 멘토는 자신의 장점과 역량을 활용하여 멘티의 성장을 돕습니다.□ 모집인원 : 15명□ 활동내용 :1) 멘토와 멘티의 개별 활동 : 월 2회 이상 멘티와 자유로운 개별활동 진행2) 멘토 교육 및 회의 : 멘토교육 (4월 중 2회) / 멘토 워크샵 (7월 중) / 멘토회의 (격월 1회)3) 단체활동 : 결연식 / 종결식 / 문화체험 및 여름캠프 각 1회□ 활동기간 : 2019년 4월~11월□ 신청자격1. 아동에게 관심이 많고 아동과 친밀한 관계를 형성·유지할 수 있는 봉사자2. 프로그램기간 동안 책임감있게 멘토링활동을 할 수 있는 봉사자□ 신청기한 : 2019년 3월 31일까지□ 신청방법 및 절차1. 어린이재단 반디 홈페이지 회원 가입 및 자원봉사자 등록 - http://www.childfund.or.kr/ 어린이재단 홈페이지 가입 및 자원봉사자 등록 (나눔활동 > 자원봉사 > 자원봉사자 등록 > VMS 연동 필수) - 나눔활동 > 자원봉사 > 모집공고 > 충청북도 > 제목 “2018 멘토링 프로그램 ”세발자전거“ 멘토 모집” > 자원봉사 지원하기 2. 청주사회복지관 홈페이지 멘토신청서 업로드-  www.childfund-cheongju.or.kr-  메인화면 > 멘토공간 > 공지사항 > 신청서 서식 다운로드-   yg7love@naver.com 로 전송3. 멘토링 담당자와 개별면접 실시(4월 초 예정/신청접수 3일 이내 개별연락)4. 멘토링 활동교육 이수 후 최종 선발□ 문의 : 청주사회복지관 김민지 대리 (043-253-4493)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
도시락 배달,충북,청주시,공통,1. 봉사일자 : 2019-03-14~2019-12-262. 봉사장소 : 복지관 및 어르신 가정3. 봉사내용 : 도시락 배달4. 특이사항: 자가 차량 이용 및 운행 가능한 주민※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
샬롬노인복지센터 자원봉사자 모집,대구,서구,공통," 샬롬노인복지센터 자원봉사자 모집 공고 - 봉사 대상 : 지역 내 기초생활수급자 및 홀로 사시는 어르신- 모집 인원 : 5명(노인, 주부, 학생)- 활동기간 : 2019.03.18~12.31- 활동장소 : 서구 지역 일대(평리5, 6동, 비산 7동, 상중이동)- 활동시간 : 주1회~주 3회(격주 가능)- 활동분야 : 방문 봉사 및 프로그램 보조- 신청자격 : 만 19세 이상 심신이 건강한 자로서 봉사정신이 투철한 자- 신청기간 : 수시 신청 가능- 신청방법 : 전화(523-5830), 팩스(522-5835)- 구비서류 : 자원봉사지원신청서, 개인정보 수집 등 동의서- 지원사항 : 교육 및 간담회, 자원봉사활동 실적 관리 및 포상 등※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어르신 나들이 동행 봉사자를 모집합니다~,인천,미추홀구,공통,1. 봉사일자 : 2019-04-24~2019-04-242. 봉사장소 : 나들이 동행(한국민속촌)3. 봉사내용 : 어르신 나들이 동행 봉사자를 모집합니다~※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
재가복지 이.미용서비스,전남,목포시,공통,<재가복지 이.미용서비스>* 모집일정 : 2019. 3. 14. ~ 2019. 12. 31.* 봉사시간 : 매월 첫째 주 목요일 09:00~11:00* 요청사항 : 이.미용 경험이 있는 자원봉사자분따뜻한 사랑의 나눔을 함께해주실 자원봉사자분들의 많은 관심 부탁드립니다. 감사합니다^^  ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
재가복지 도시락서비스,전남,목포시,공통,"<재가복지 도시락서비스>* 모집일정 : 2019. 3. 14. ~ 2019. 12. 31.* 봉사시간 : 매주 월, 수, 금 10:30~11:30 (희망요일 주 1회 신청 가능)* 활동내용 : 복지관 인근~포미타운 8~9세대 도시락서비스 운전 따뜻한 사랑의 나눔을 함께해주실 자원봉사자분들의 많은 관심 부탁드립니다. 감사합니다^^ ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
재가복지 밑반찬서비스,전남,목포시,공통,<재가복지 밑반찬서비스>* 모집일정 : 2019. 3. 14. ~ 2019. 12. 31.* 봉사시간 : 매주 수 13:30~15:00* 활동내용 : 죽교동/북교동 9세대 밑반찬서비스 운전따뜻한 사랑의 나눔을 함께해주실 자원봉사자분들의 많은 관심 부탁드립니다. 감사합니다^^※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
[남구종합사회복지관] 2019년 멘토링 프로그램 멘토 모집,울산,남구,여,"1. 남구종합사회복지관 멘토링 프로그램 멘토 모집울산남구종합사회복지관에서는 2019년 멘토링 프로그램에 참여할 멘토를 모집합니다.청소년들과 재미있는 멘토링 수업을 함께 만들어 줄 멘토를 모집하오니 많은 신청 바랍니다.1. 활동기간 : 2019. 04 ~ 11 (8월 미진행 / 7개월 활동) * 월2회 진행 예정2. 모집인원 : 16명3. 활동영역 : 중,고등학생 청소년4. 활동방법- 학습 지원 : 1:1학습, 집단학습- 진로 활동 : 멘토-멘티가 논의하여 체험 활동- 멘토 간담회 : 활동자문 및 점검5. 멘토 혜택사항- 월 활동비 지급 예정- 회기별 다과 제공6. 신청기간: 2019. 03. 07(목) ~ 2019. 03. 21(목)7. 신청방법: 유선연락(052)260-2981)8. 담 당 자 : 울산남구종합사회복지관 조직·사례관리과 김영애 사회복지사*상기 내용은 기관사정에 따라 변경될 수 있습니다.*최소 4개월 이상 지속적인 참여가 가능한 멘토를 모집합니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
밑반찬 및 국 배달 보조,부산,남구,공통,"밑반찬 / 국 도시락 배달 업무- 운전 가능하신 분만 신청해주시기 바랍니다.- 매주 화, 목(공휴일제외) 10시~12시까지 활동.  :  매주 화, 목 중 택일하여 활동 가능함.- VMS 실적 인증- 활동지역 : 남구 일대(대연1동, 대연6동, 문현1~4동)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"양산시노인복지관 저소득 거동불편 어르신을 위한 세탁물 수거, 전달(차량지원)",경남,양산시,공통,"1. 봉사일자 : 2019-03-19~2019-12-312. 봉사장소 : 양산시노인복지관 및 양산지역3. 봉사내용 : 양산시노인복지관 저소득 거동불편 어르신을 위한 세탁물 수거, 전달(차량지원)※ 개인차량을 이용하여 매월 3주 화요일 및 3주 수요일에 세탁물을 수거, 전달 해주실 자원봉사자님의 많은 지원 바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
독거노인 친구만들기 업무 보조 봉사자 모집,제주,제주시,공통,1. 봉사일자 : 2019-03-12~2019-12-312. 봉사장소 : 기관 내외3. 봉사내용 : 독거노인 친구만들기 업무 보조 봉사자 모집4. 사전교육 : 독거노인 친구만들기 설문지 작성 사전교육(30분~40분)※ 운전가능자 우대※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
학습자원봉사자 모집,대전,서구,여,1. 봉사일자 : 2019-04-01~2019-12-312. 봉사장소 : 관저종합사회복지관3. 봉사내용 : 학습자원봉사자 모집※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
재가복지사업 밑반찬 배달 자원봉사자 모집,서울,서초구,공통,"재가복지 대상자 어르신의 건강한 식사제공을 위해 활동해주실 밑반찬배달 자원봉사자를 모집합니다.매주 월요일, 목요일 진행되며 월 1회 활동도 가능합니다.비 정기적인 봉사활동도 가능하며 사전 일정조율 후 활동할 수 있습니다.차량의 경우 개인차량으로 활동이 가능하며 차량이 없을 시 기관차량으로 활동이 가능합니다.많은 관심 부탁드립니다.재가복지사업 담당자 김보석 사회복지사 010-3334-1318※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[계양재가노인지원서비스센터] 목욕봉사자 모집합니다.,인천,계양구,공통,"안녕하세요. 계양재가노인지원서비스센터입니다.본 센터에서는 어르신들을 대상으로 목욕 봉사를 위한 자원봉사자를 모집하려고 합니다.많은 관심과 참여 부탁드리겠습니다.-------------------------------------------------------------------------------일시 : 매월 네번째 주 수요일(오전 9시 ~ 13시/ 8월 제외)장소 : 계양구 효성동 내 사우나(효성프라자 내)내용 : 재가 어르신 목욕 및 식사 시 지원(목욕 시 등 밀어 드리기, 목욕탕 입출입 지원 등)비고 : 목욕, 식사서비스는 사우나 내의 목욕탕 및 식당에서 진행되며 서비스 진행 시 발생하는 금액(목욕비, 식비)은 기관에서 부담합니다.기타 궁금하신 사항은 계양재가노인지원서비스센터로 해주시기 바랍니다. (업무시간 내 032-556-0005 / 업무시간 외 010-4081-3407) ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
