제목,지역,소분류,성별,내용
청소년 자원봉사자 모집(아동 참여위원회 3기),서울,구로구,공통,"<아동 참여위원회 3기 모집 안내>화원종합사회복지관은 아동 친화적 지역사회 환경을 조성하기 위해 ‘아이 키우기 좋은 구로’ 사업을 진행합니다. 아동의 권리를 옹호하고, 아동이 살기 좋은 지역사회 환경 변화를 도모하기 위한 『제3기 아동 참여위원회』를 모집합니다.<참여위원회 안내>- 활동내용: 아동 권리 보장을 위한 사회참여활동(청소년 체인지메이커 활동)- 대상: 구로구 거주 아동/청소년 12명(중등 1학년 ~ 고등 3학년)- 기간: 2019년 5월 2주차 ~ 6월 3주차, 9월 3주차 ~ 10월 4주차(각 6주 연속 토요일 10:00~13:00)- 지원: 청소년 역량개발 프로그램 지원, 자원봉사시간 제공(VMS), 수료증 지급<신청사항>- 1차 신청기간: 4/20(토) 18:00까지- 1차 심사 발표: 4/22(월) 15:00- 2차 면접: 4/27(토) 10:00~12:00- 최종발표: 4/30(화) 15:00- 선정기준: 프로그램 참여 적극성, 청소년 사회참여의 이해, 복지관 접근성, 품행 및 성실성- 신청방법:  1) 복지관 홈페이지(http://www.hwawon.org)에서 참가 신청서 다운로드 후 이메일(work0803@hanmail.net) 또는 방문 제출  2) 구글 설문지 (https://forms.gle/yL1w3JeBmqC79QWS6) 에 신청 내용 작성, 선발 완료 시 신청서에 재작성<문의사항>- 김준성 사회복지사(02-6925-5283)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[도봉구치매안심센터] 동아리 및 자원봉사단 모집 ,서울,도봉구,공통,"지역 주민의 건강한 노후를 위한 치매관리사업을 진행하는 도봉구보건소의 도봉구치매안심센터에서는  지역 주민의 치매인식개선을 위해 캠페인 활동을 함께 참여할 치매자원봉사단을 모집합니다.비정기 활동으로 함께 모여 컨텐츠를 개발하고 이를 통해 지역사회에서 캠페인 활동을 진행하며 대학생 및 일반 자원봉사자로 구성된 자원봉사단를 모집합니다.현재 봉사동아리를 진행하고 있거나 단체활동을 하고 계실 경우 신청 후 전화주시면 논의하여 가능할 수 있으니 유선문의 바랍니다.  활동은 월1-2회로 자율적으로 논의한 시간대에 진행합니다.단, 평일에 진행할 예정이니 일정 참고하여 신청바랍니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
**시 대표 청소년어울림마당 기획단원 모집,광주,서구,공통,"1. 봉사일자 : 2019-04-27~2019-11-092. 봉사장소 : 광주유스퀘어, 광주광역시청소년수련3. 봉사내용 : **시 대표 청소년어울림마당 기획단원 모집？？청소년어울림마당 기획단에서 신입단원을 모집합니다신입생, 재학생 여러분 안녕하세요기대했던 캠퍼스 라이프는 다들 어떠신가요19년도 새학기를 맞아 광주 유일 시 대표 청소년어울림마당기획단 ‘늘봄’에서 신입단원을 모집합니다나는 재밌게 봉사시간을 채우고 싶다  타 학교 친구를 사귀고 싶다   의미있는 대학생활을 즐기고 싶다그럼 지금 바로 '늘봄'에 신청하세요우리 기획단은 회의를 통해서 청소년들의 욕구에 부합하고 다양한 역량을 키울 수 있는 체험부스를 기획하고 운영합니다광주유스퀘어에서 천막 치며 다양한 체험활동을 하거나 공연을 한 것을 본 적이 있나요?그것이 바로 저희 ‘늘봄’에서 진행한 것이지요Q.왜 청소년어울림마당이 필요한가요?A.청소년들의 놀이문화가 많지 않은 것이 우리 사회의 현실입니다. 그렇기에 우리 기획단은 청소년들의 건전하고 건강한, 재밌는 청소년문화를 만들어주기 위해 청소년어울림마당을 꾸리고 있습니다.Q.기획단에 들어오면 좋은 점은 무엇인가요?A.우리 기획단은 현재 조선대, 광주대, 광주여대 등 다양한 학생들로 구성되어 있습니다.  광주의 많은 친구들과 소통을 할 수 있습니다 !대학생들에게 필요한 것은 바로 ‘주체성’에 대한 역량을 키우는 것입니다. 저희 기획단은 하나부터 열까지 기획단원의 의견을 취합하고 있으며 모든 것이 기획단원의 주체로 이루어지는 활동입니다. 즉, 주체성, 리더십에 대한 역량을 키울 수 있습니다 !A.봉사시간 OR 소정의 활동비가 지급됩니다 !A.청소년 관련 직업에 취직하는 데 있어 도움됩니다 !!!!!!!!!!!!!!!!청소년 관련 직업을 생각하신다면 꼭 신청해주세요!!!!!!!!!!!!!!기타 질문 사항은 댓글 혹은 오픈카톡으로 해주시기 바랍니다 !오픈카톡 링크https://open.kakao.com/o/sjD9gGhb모집기간은 4월 15일까지며 필요 시 상시 모집하고 있으니 관심 있는 학우분들은 언제나 문의주세요지원서 다운로드http://www.fmayouth.co.kr/board/index.html?id=notice3&no=4※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019어린이벼룩시장 '병아리떼쫑쫑쫑'자원봉사자를 모집합니다.,광주,서구,공통,"'시간의 힘'을 아시나요?모든일은 한꺼번에 일어나지 않습니다.변화는 생각보다 천천히 진행되고 바라는 것은 일정 시간이 흐른 후에야 비로소 이루어 집니다.아름다운가게는 이와같이 '시간의 힘'을 믿고 함께할 5월 5일 어린이 벼룩시장 '병아리떼쫑쫑쫑' 자원활동가를 모집하고 있습니다. 한사람, 한사람의 작은 실천과 관심이 좀 더 따뜻한 사회를 만들어 갈 것이라고 생각합니다. 당신의 소중한 시간과 재능을 아름다운가게와 함께 해 주세요.-봉사시간 : 5월 5일(일) 오전 8시~오후4시-활동내용 : 장터접수처 관리, 어린이벼룩시장 운영, 기증품접수, 부스운영도우미, 홍보캠페인, 공연무대 도우미, 주차관리 등-봉사신청 : 5월 2일까지-봉사장소 : 광주광역시 야외음악당 광장 일원-5월 5일 어린이날 장애어린이들에게 꿈과 희망을 선물해주세요-※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[서울재활협회] 감동의 마라톤 자원봉사자 모집(4/20),서울,영등포구,공통,"1. 활동 내용  ※ 장애인 참가자가 많기 때문에 주의요망. - 대 회 명: 제3회 S-OIL과 함께하는 ‘감동의 마라톤’    (http://감동의마라톤.com)- 접수처: 현장 접수인원 확인 및 물품 전달- 출발 및 골인지: 출발 전/후 집결지 통제, 참가자 질서유지- 골인 급수대: 완주자들 물 제공- 간식 배부처: 완주자들 간식 제공- 물품보관소: 참가자 물품을 수령 및 전달, 보관하는 업무 수행- 탈의실: 질서유지, 비닐백 배포- 주로(코스)내 각 교차로 및 골목 차량 통행 안내 및 선수 주로 안내- 5km지점 이후부터 매 5km마다 급수 및 스펀지대 설치 및 선수음료제공- 마라톤 참가자(장애인, 비장애인) 기타 지원 활동2. 모집기간- 2019.03.04.(월)~2018.04.18.(목) 3. 모집인원- 100명 4. 모집대상- 성별 무관. (단, 연령 14세~40세)※봉사자 모집에 어려움이 있어 4/1(월)부터 중학생 봉사자도 신청 받고 있습니다.  5. 모임장소- 여의도 이벤트광장(집결지)(지하철 5호선 여의나루역 2번 출구)6. 모임시간- 2019.04.20.(토), 오전 7시(10분 전까지 도착) 7. 활동날짜 및 시간- 2019.04.20.(토), 오전 7시~오후 1시(총 6시간) 8. 신청방법- 담당자에게 아래 개인 신상 정보 이메일(rikorea-seoul@naver.com) 전달※ 이름/ 성별/ 연령/ 연락처/ 이메일 주소/ 장애유무/ VMS ID 전달  →개인 신상 정보 이메일 미전달시 최종 접수가 안된 상태이므로, 꼭 메일로 별도 전달 부탁드립니다. - 접수 후 확정된 봉사자는 개인 연락처로 회신 4/18(목) 예정 9. 기타- 제공사항: 중식, 간식, 물- 지인 및 친구, 동아리 등 단체신청 가능문의) 서울특별시장애인재활협회, 봉사담당 정혜정 02-2637-4162 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
학교캠페인 자원봉사자 모집 !!,경기,군포시,공통,"도장중학교 청소년들과 함께하는학교적응 캠페인 자원봉사자를 모집합니다.활동내용일시 : 2019. 04. 17(수) 07:30~09:30장소 : 도장중학교내용 : 학교적응 캠페인 운영         - 하이파이브, 질의응답 부스 운영문의 : 031-395-4894 (박민혁 사회복지사)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
소망재활원 중증장애인 수영수업 지원 봉사자 모집,경기,성남시,남,소망재활원 중증장애인들을 위한 수영 프로그램에 자원봉사자를 모집합니다.매주 화요일 13:40~15:40수영 프로그램 진행 시 장애인분들의 수영복 착탈의 및 수영 수업을 지원해주실 남자 자원봉사자를 모집합니다~ ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
강북마을기자단 2기 모집,서울,강북구,공통,"주민들이 직접 만드는 우리동네 신문우리동네 소식 배달원 ""강북마을기자단"" 2기를 모집합니다. 모집 대상 : 강북구 거주기간 3년 이상이며 마을을 사랑하는 주민 중 선발된 지역주민               (취재 및 기사 작성이나 영상 및 사진촬영에 관심과 흥미가 있는 주민 - 처음하시는 분도 환영합니다!)모집 인원 : 15명활동 기간 : 2019. 4~11(총 8개월)               *정기모임 매월 1회 토요일 예정 (세부사항은 변경될 수 있습니다.)신청 기간 : 2019. 4. 1(월) ~ 21(일) 3주간모집 절차 : 신청접수 - 상담 및 선발 - 개별 안내 - 마을기자단 활동(일정 추후 안내)혜       택 : 자원봉사시간(VMS) 제공, 기자단원증 및 수료증 발급                신청방법 : 방문접수 혹은 블로그(https://blog.naver.com/gangbukwelfare) 게시판 > 공지사항에 신청서 작성 후 메일 전송(rlathwjd7911@nate.com)                ※ VMS상에서 신청은 신청서 미작성으로 인정되지 않으니 블로그에서 신청서 확인 후 작성해서 발송 부탁드립니다!신청 문의 : 02)984-5811~4 김소정 사회복지사 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"영화로 보는 인생 회고, 사진 자서전 만들기 활동 자원봉사자 모집  ",대전,서구,공통, ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
장애인의날 행사 자원봉사자를 모집합니다.,부산,서구,공통,"1. 봉사일시 : 2019년 4월 18(목), 08:30-14:30(6시간)2. 봉사장소 : 강서실내체육관3. 봉사내용 : '장애인의 날' 행사 보조 및 정리4. 모집인원 : 10명5. 문의사항 : 서구장애인복지관 /051-242-39306. 비고  - 모든 봉사자는 서구장애인복지관에서 장애인분들과 함께 출발 및 복귀  - VMS신청 후 전화를 하여 봉사 확정 필수  - 문의사항은 복지관 전화번호로 문의※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"""제7회 울산광역시교육감기 전국학생종합무술대회"" 자원봉사자모집",울산,남구,공통," 「제7회 울산광역시교육감기 전국학생종합무술대회」 원활한 진행을 하기 위하여 화목봉사회에서는 자원봉사자를 모집합니다.* 행사명 :  「제7회 울산광역시교육감기 전국학생종합무술대회」  * 일시 : 2019년 4월 28일(일)  09:00 ~ 17:00 (8시간)* 장소 : 남구 종하체육관* 자원봉사자 참여 : 25명* 활동내용 : 행사보조,안내* 봉사혜택 : 점심제공*** 자원봉사자는 당일 9시까지 행사장소로 집결 바랍니다.*** 봉사일 1~2일 전에 신청하신 휴대폰으로 안내 문자가 발송됩니다.** 봉사실적은 봉사일 2~3일 이내 등록해드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
광산구청소년수련관 문화기획단 동아리'소문나'회원 모집,광주,광산구,공통,"2019년도 문화기획단 동아리 '소문나' 회원을 모집합니다.소문나는소중한 청소년문화를 나누는 사람들이라는 의미로,청소년들이 놀 곳과 노는 문화를 만들고 나누기 위한 동아리입니다.○ 모집대상 : 만 9세~24세 청소년○ 모집기간  : 2018.12.05~12.31○ 활동기간  : 2019.1.1~12.31○ 주요활동   - 청소년 문화 기획   - 어울림마당 기획, 진행   - 문화 여행, 워크숍○ 혜택  - 행사 참여시 봉사시간 발급  - 동아리 활동비 지원 및 활동 공간 무료 제공  - 소중한 친구※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[굿피플] 제3회 굿피플 마라톤대회 봉사자 모집,서울,마포구,공통,"세상의 소외된 이웃을 향해 사랑을 실천하는 국제구호개발 NGO 굿피플입니다.굿피플은 기부마라톤대회를 통해 희귀난치성질환 아동 지원하기 위해 기부마라톤 대회를 진행하고 있습니다.[사전교육] 5월 11일 토요일 14:00~18:00 (총 4시간)[마라톤 봉사] 5월 18일 토요일 07:00~15:00 (총 8시간) 장소 : 월드컵공원 평화의광장봉사내용 : 마라톤대회 행사 보조(코스 배치, 행사장 안내 등 간단한 봉사활동)오시는길 : 월드컵경기장 역(6호선 10분거리) 아침에 간단한 식사가 준비되어 있습니다.모집이 조기에 마감될 수 있습니다. 많은 참여 부탁드립니다.문의 : 02-6011-9464 박영신 간사※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어버이날 행사 자원봉사자 모집,부산,남구,공통,"<남구노인복지관 어버이날행사 자원봉사자 모집>* 일      시 : 5/8(수) 09:00~15:00* 장      소 : 남구노인복지관/ 지하철 2호선 대연역에서 도보 2분/* 활동내용 : 어르신들 체험부스 운영 및 보조* 신청방법 : 개인 신청시 vms로 신청하시면 확인 문자드려요~                단체 신청시 051)628-1291로 연락주세요~^^  지하철에서 나와서 2분 도보만 걸으면 되는 최적의 위치!!!하루에 6시간의 봉사시간을 받을 수 있는 최적의 기회!!카페, 네일아트, 공예만들기 등 다양한 활동으로 즐거움 뿜뿜!! ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[서울재활협회] 감동의 마라톤 자원봉사자 모집(4/20),서울,영등포구,공통,"1. 활동 내용  ※ 장애인 참가자가 많기 때문에 주의요망. - 대 회 명: 제3회 S-OIL과 함께하는 ‘감동의 마라톤’    (http://감동의마라톤.com)- 접수처: 현장 접수인원 확인 및 물품 전달- 출발 및 골인지: 출발 전/후 집결지 통제, 참가자 질서유지- 골인 급수대: 완주자들 물 제공- 간식 배부처: 완주자들 간식 제공- 물품보관소: 참가자 물품을 수령 및 전달, 보관하는 업무 수행- 탈의실: 질서유지, 비닐백 배포- 주로(코스)내 각 교차로 및 골목 차량 통행 안내 및 선수 주로 안내- 5km지점 이후부터 매 5km마다 급수 및 스펀지대 설치 및 선수음료제공- 마라톤 참가자(장애인, 비장애인) 기타 지원 활동2. 모집기간- 2019.03.04.(월)~2018.04.18.(목) 3. 모집인원- 100명 4. 모집대상- 성별 무관. (단, 연령 14세~40세)※봉사자 모집에 어려움이 있어 4/1(월)부터 중학생 봉사자도 신청 받고 있습니다.  5. 모임장소- 여의도 이벤트광장(집결지)(지하철 5호선 여의나루역 2번 출구)6. 모임시간- 2019.04.20.(토), 오전 7시(10분 전까지 도착) 7. 활동날짜 및 시간- 2019.04.20.(토), 오전 7시~오후 1시(총 6시간) 8. 신청방법- 담당자에게 아래 개인 신상 정보 이메일(rikorea-seoul@naver.com) 전달※ 이름/ 성별/ 연령/ 연락처/ 이메일 주소/ 장애유무/ VMS ID 전달  →개인 신상 정보 이메일 미전달시 최종 접수가 안된 상태이므로, 꼭 메일로 별도 전달 부탁드립니다. - 접수 후 확정된 봉사자는 개인 연락처로 회신 4/18(목) 예정 9. 기타- 제공사항: 중식, 간식, 물- 지인 및 친구, 동아리 등 단체신청 가능문의) 서울특별시장애인재활협회, 봉사담당 정혜정 02-2637-4162 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
[서울재활협회] 감동의 마라톤 자원봉사자 모집(4/20),서울,영등포구,공통,"1. 활동 내용  ※ 장애인 참가자가 많기 때문에 주의요망. - 대 회 명: 제3회 S-OIL과 함께하는 ‘감동의 마라톤’    (http://감동의마라톤.com)- 접수처: 현장 접수인원 확인 및 물품 전달- 출발 및 골인지: 출발 전/후 집결지 통제, 참가자 질서유지- 골인 급수대: 완주자들 물 제공- 간식 배부처: 완주자들 간식 제공- 물품보관소: 참가자 물품을 수령 및 전달, 보관하는 업무 수행- 탈의실: 질서유지, 비닐백 배포- 주로(코스)내 각 교차로 및 골목 차량 통행 안내 및 선수 주로 안내- 5km지점 이후부터 매 5km마다 급수 및 스펀지대 설치 및 선수음료제공- 마라톤 참가자(장애인, 비장애인) 기타 지원 활동2. 모집기간- 2019.03.04.(월)~2018.04.18.(목) 3. 모집인원- 100명 4. 모집대상- 성별 무관. (단, 연령 14세~40세)※봉사자 모집에 어려움이 있어 4/1(월)부터 중학생 봉사자도 신청 받고 있습니다.  5. 모임장소- 여의도 이벤트광장(집결지)(지하철 5호선 여의나루역 2번 출구)6. 모임시간- 2019.04.20.(토), 오전 7시(10분 전까지 도착) 7. 활동날짜 및 시간- 2019.04.20.(토), 오전 7시~오후 1시(총 6시간) 8. 신청방법- 담당자에게 아래 개인 신상 정보 이메일(rikorea-seoul@naver.com) 전달※ 이름/ 성별/ 연령/ 연락처/ 이메일 주소/ 장애유무/ VMS ID 전달  →개인 신상 정보 이메일 미전달시 최종 접수가 안된 상태이므로, 꼭 메일로 별도 전달 부탁드립니다. - 접수 후 확정된 봉사자는 개인 연락처로 회신 4/18(목) 예정 9. 기타- 제공사항: 중식, 간식, 물- 지인 및 친구, 동아리 등 단체신청 가능문의) 서울특별시장애인재활협회, 봉사담당 정혜정 02-2637-4162 ※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
"탁구, 배드민턴 재능기부 봉사자 모집",광주,서구,공통,※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
지역 욕구조사 자원봉사자 모집,서울,노원구,공통,"제목자원봉사자 모집 요청내용지역 욕구조사 자원봉사자 모집모집기간서류접수: 2019년 4월 16일(화)기초교육: 2019년 4/19(금)중1시간활동일시~ 5/2(목)까지 개인별로 자유롭게 조사모집대상사회복지학과 3~4학년모집인원7명봉사내용지역욕구조사봉사자 참고사항 및 준비물1.서류접수는4월16일(화) 까지 이메일 1wolgye@naver.com 접수합니다.(양식은 월계종합사회복지관 공지사항에 등재)2. 신청자중 7명이 선정되며, 선정 되신 분께는 4월 17일 (수) 개별 연락 드립니다.3. 기초교육은 4월 19일 (금)에 가장 많은 분이 선택한 시간에 시행됩니다. 기초교육에서는 욕구조사 계획서를 바탕으로 기본 이해를 돕는 욕구조사에 대한 설명과 설문지 시연, 개인별 욕구조사 배정, 엑셀로 코딩하는 법을 배울 예정입니다. 욕구 조사 시 사용할 욕구조사 설문지, 볼펜, 명찰, 기념품, 기관 리플렛도 함께 배부합니다.4. 욕구조사는 4월 19일 (금)부터 5월 2일 (목)까지 개인별 자유일정으로 진행됩니다. 주중 주말, 오전, 오후, 밤 상관없이 개인별 일정에 맞게 기간내에 30case를 진행하면 됩니다.5. 조사한 욕구조사지는 엑셀로 코딩하여(코딩 프로그램제공 예정) 조사한 설문지와 함께 5월 2일 (목)까지 담당자에게 제출해주면 됩니다.6. 제출후, 조사지와 코딩을 점검 하여 오류가 있을시 수정 요청 할 수 있습니다.7. 코딩 점검 완료 후 5일이내 활동비가 지급됩니다. 활동후 1) 욕구조사 수료증 + 자원봉사시간 10시간 또는 2) 활동비 100,000원(기초교육시 통장사본 제출) 선택할 수 있습니다.그 외 궁금한 점은 기초교육시 질의 응답 및 담당자와 상의하여 진행 가능 합니다.기관위치: 서울 노원구 초안산로1길 51 월계종합사회복지관문의: 월계종합사회복지관 전안나과장 070-4394-7202(카카오톡 [전안나작가] 로 카톡도 가능합니다.)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
어린이날 행사 체험부스 활동 보조 /실팔찌 만들기 활동,경기,안양시,공통,봉 사 명 : 어린이날 행사 체험 부스 보조봉사일시 : 2019.05.05. ~ 2019.05.05. (09:30~16:30)봉사확인서 : VMS 확인서 발급활동내용 : 어린이날 행사 체험부스 보조 / 오색팔찌 만들기 체험               ① 체험부스 세팅 ② 팔지만들기 설명 및 보조 ③ 뒷정리활동장소 : 안양평촌중앙공원활동복장 : 편안한 복장모집인원 : 4명신청 및 문의 : 권혜인 사회복지사 / 031-466-9125 (내선 300)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
소규모 인원 미술지도 자원봉사자 모집합니다,인천,계양구,공통," 본 시설은 정신재활시설입니다. 이용대상 중 여성회원이 모여 미술공모전 작품출제를 위해미술지도를 해 주실 자원봉사자를 모집합니다.공모전 출제라고 하지만, 당선을 위해서 라기 보다는 출제에 의미를 두고 있기 때문에지도하는데 큰 부담은 안가지셔도 됩니다.미술지도와 공모전 출제에 필요한 재료는 기관에서 지원합니다.회원(이용대상)들이 다양한 사회활동에 참여할 수 있도록 관심과 지원 부탁드립니다.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
월드원 자원봉사,경기,가평군,공통,다문화가정을 대상으로하는 프로그램의 보조를 도와주는 봉사활동입니다!※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
아름다운가게 울산북구점 자원봉사자,울산,북구,공통,"아름다운가게 울산북구점에서 대학생 자원봉사자를 모집합니다 아름다운가게는 시민들과 기업에서 기증해주신 물품을 직접 자원봉사자들이 정리 / 판매 하여 그 수익금으로 다시 지역사회에 나눔하는 대표적인 공익 법인입니다. 북구점 위치는 호계시장,호계역 인근에 있습니다 ^^ - 모집관련 1. 주 1회 / 4시간 활동 하실 자원활동가를 모집 합니다 2. 화요일 오후(14~18시) 1명   수요일 오후(14~18시) 2명   목요일 오후(14~18시) 2명   중 선택 가능 3. 매장 내 기증품 접수, 판매관련(포스 및 정리 정돈), 기타 업무 지원4. 봉사자 혜택 : VMS 봉사시간 등록, 아름다운가게 봉사시간 등록, 오전 식사 제공, 오후 간식 제공    사회에 건강한 자원봉사 문화와 더불어 나눔과 순환의 문화를 확산시키고자 노력하고 있습니다.아름다운가게에서는 한 사람의 작은 실천, 관심이 좀 더 따뜻한 사회를 만들어 갈 것이라 생각합니다.당신의 소중한 시간, 재능을 아름다운가게와 함께 해주세요.※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
2019년 지역주민과 함께하는 마을축제 동삼나들목 자원봉사자 모집,부산,영도구,공통,"“2019년 제6회 동삼나들목 주민축제” 자원봉사자 모집동삼종합사회복지관에서는 4월 따뜻한 봄을 맞이하여 동삼1주공 주민 및 영도구민 간 소통과 화합의 장을 갖고,함께 나누고 즐기는 자리를 마련하고자 『2019년 제6회 동삼나들목』주민축제를 진행합니다.이에 지역주민분들의 힘을 지원받고자 자원봉사자를 모집하오니 많은 관심과 신청 부탁드립니다. ？ 일 시 : 2019. 4. 25. (목) 10:00~19:00？ 장 소 : 동삼복지관 주차장, 동삼1주공 103동 놀이터？ 내 용 : 지역주민 노래자랑대회, 주민참여부스(아나바다 장터),먹거리 판매, 체험부스(캐리컬쳐, 뱃지 만들기) 등 업무보조=> 참고사항: 종일 또는 시간별로 활동 조정 가능,=> 우대사항: 사진 기술 이나 캐리컬쳐 그리기가 가능하신 분은 체험부스로 활동됩니다※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
불법도박퇴치 문화캠페인 행사지원,서울,서대문구,공통,1. 봉사일자 : 2019-04-28~2019-04-28(오전 10시 ~ 오후 5시)2. 봉사장소 : 신촌 연세로 차없는거리3. 봉사내용 : 불법도박퇴치 문화캠페인 행사지원청년과 청소년을 위한 불법도박 예방홍보와 문화공연(힙합보이 ^^산이^^ 외 4팀 출연)행사지원 해주실 봉사자 분들 모집합니다.문의사항은 담당자 전화번호로 연락 부탁드리겠습니다.*복장: 편한 복장(우천시 강행)※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)
제7기 나누미리더 모집(대한적십자사 인천혈액원) ,경기,광명시,공통,"대한적십자사 인천혈액원에서 정기적으로 헌혈 관련 봉사활동을 리드하고 탁월한 리더십을 발휘하여헌혈문화 확산에 기여할 수 있는 “나누미리더”를 아래와 같이 모집하오니 많은 신청 바랍니다.1. 모집대상가. 인천.부천.광명지역 고등학생 및 대학생(휴학생 포함)나. 헌혈에 대한 열정적인 관심과 창의적이고 적극적으로 캠페인 리더 역할을 수행할 리더십이 있는 자2. 모집인원 : 30명 내외 ※ 단 신청 상황에 따라 변동될 수 있음3. 활동기간 : 2019. 5월 ~ 2020. 2월(10개월)4. 활동내용가. 인근 헌혈의집, 소속 단체(고교,대학), 기타 장소에서 헌혈캠페인 리더역할 수행나. 헌혈 홍보.캠페인 리더 역할 수행을 통하여 발전적 헌혈활성화 방안 제안다. 인천혈액원 대외 헌혈홍보 행사 참여5. 활동혜택가. 우수 나누미리더 대한적십자사 인천혈액원장 표창 수여나. 나누미리더 활동 인증서 발급다. 헌혈캠페인 활동시간 봉사시간 인정(VMS)라. 월별 우수활동 나누미리더 포상6. 모집기간 : 2019. 4. 5(금) ~ 4.28(일)7. 지원방법 : 첨부파일 ‘제7기 나누미리더 신청서’ 작성 후 이메일 제출(이메일주소 : kirisimarim@redcross.or.kr)8. 결과 발표 : 2019. 5. 3(금) 17:00 개별 연락9. 기타문의 : 인천혈액원 헌혈지원팀 김학경 ☎ 032-810-1378※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
제7기 나누미리더 모집(대한적십자사 인천혈액원) ,경기,부천시,공통,"대한적십자사 인천혈액원에서 정기적으로 헌혈 관련 봉사활동을 리드하고 탁월한 리더십을 발휘하여헌혈문화 확산에 기여할 수 있는 “나누미리더”를 아래와 같이 모집하오니 많은 신청 바랍니다.1. 모집대상가. 인천.부천.광명지역 고등학생 및 대학생(휴학생 포함)나. 헌혈에 대한 열정적인 관심과 창의적이고 적극적으로 캠페인 리더 역할을 수행할 리더십이 있는 자2. 모집인원 : 30명 내외 ※ 단 신청 상황에 따라 변동될 수 있음3. 활동기간 : 2019. 5월 ~ 2020. 2월(10개월)4. 활동내용가. 인근 헌혈의집, 소속 단체(고교,대학), 기타 장소에서 헌혈캠페인 리더역할 수행  (부천지역 헌혈의집 : 헌혈의집 부천센터(부천역 4번출구 앞), 상동센터(상동역 3번 출구 앞)나. 헌혈 홍보.캠페인 리더 역할 수행을 통하여 발전적 헌혈활성화 방안 제안다. 인천혈액원 대외 헌혈홍보 행사 참여5. 활동혜택가. 우수 나누미리더 대한적십자사 인천혈액원장 표창 수여나. 나누미리더 활동 인증서 발급다. 헌혈캠페인 활동시간 봉사시간 인정(VMS)라. 월별 우수활동 나누미리더 포상6. 모집기간 : 2019. 4. 5(금) ~ 4.28(일)7. 지원방법 : 첨부파일 ‘제7기 나누미리더 신청서’ 작성 후 이메일 제출(이메일주소 : kirisimarim@redcross.or.kr)8. 결과 발표 : 2019. 5. 3(금) 17:00 개별 연락9. 기타문의 : 인천혈액원 헌혈지원팀 김학경 ☎ 032-810-1378※ 자원봉사희망자 정보는 신청자와 관리센터만 볼 수 있습니다.(로그인 필요)"
